Sr.No,Round ??,Institute ??,Program ??,Stream ??,Quota ??,Category ??,Seat Gender ??,Opening Rank ??,Closing Rank ??,Remark ??
1056,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Information Technology (Collaboration & Twining Program),B.Tech,Home State,OPEN(AF),Both Male and Female Seats,859924,859924,Fresh Only
1057,Round 1,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Chemical Engineering,B.Tech,Home State,BC(AF),Both Male and Female Seats,139855,139855,Fresh Only
1058,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Electronics and Communication Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,677637,922099,Fresh Only
1059,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,BC(AF),Both Male and Female Seats,514208,735648,Fresh Only
1060,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Information Technology,B.Tech,Home State,EWS(AF),Both Male and Female Seats,252013,252013,Fresh Only
1061,Round 1,"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC,Both Male and Female Seats,894548,1419088,Fresh Only
1062,Round 1,"S R GROUP OF INSTITUTIONS (COLLEGE OF SCIENCE AND ENGINEERING),JHANSI",Computer Science And Engineering(Internet Of Things),B.Tech,Home State,OPEN(GIRL),Female Seats,1264947,1307365,Fresh Only
1063,Round 1,"G.L.BAJAJ GROUP OF INSTITUTIONS,MATHURA",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN,Both Male and Female Seats,208345,840144,Fresh Only
1064,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Computer Science and Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,271226,271226,Fresh Only
1065,Round 1,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Electronics and Communication Engineering,B.Tech,Home State,BC,Both Male and Female Seats,90887,100102,Fresh Only
1066,Round 1,"MODERN COLLEGE, JHANSI",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,668772,668772,Fresh Only
1067,Round 1,"S R GROUP OF INSTITUTIONS (COLLEGE OF SCIENCE AND ENGINEERING),JHANSI",Computer Science & Technology,B.Tech,Home State,SC,Both Male and Female Seats,1472580,1472580,Fresh Only
1068,Round 1,"D. D. U. Gorakhpur University, Gorakhpur",Computer Science and Engineering,B.Tech,Home State,BC(AF),Both Male and Female Seats,329337,329337,Fresh Only
1069,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Electronics Engineering,B.Tech,Home State,SC,Both Male and Female Seats,218256,247999,Fresh Only
1070,Round 1,"BHARAT RATNA SARDAR VALLABHBHAI PATEL RAJKIYA ENGINEERING COLLEGE, BASTI",Electrical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,389529,641810,Fresh Only
1071,Round 1,"INSTITUTE OF ENGINEERING & TECHNOLOGY,SITAPUR",Artificial Intelligence And Machine Learning,B.Tech,Home State,OPEN,Both Male and Female Seats,247510,1164291,Fresh Only
1072,Round 1,"BHARAT RATNA BABA SAHEB BHIM RAO AMBEDKAR RAJKIYA ENGINEERING COLLEGE, PRATAPGARH",Mechanical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,473033,1271975,Fresh Only
1073,Round 1,"S.D.COLLEGE OF ENGINEERING & TECHNOLOGY,MUZAFFARNAGAR",Civil Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,974185,1184035,Fresh Only
1074,Round 1,"UNITED INSTITUTE OF TECHNOLOGY,ALLAHABAD",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,562142,1297672,Fresh Only
1075,Round 1,"UNITED COLLEGE OF ENGINEERING & RESEARCH,ALLAHABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,SC(Girl),Female Seats,997620,1190311,Fresh Only
1076,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Mechanical Engineering,B.Tech,Home State,SC(Girl),Female Seats,285901,318921,Fresh Only
1077,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Business System,B.Tech,Home State,OPEN,Both Male and Female Seats,176175,548879,Fresh Only
1078,Round 1,"COLLEGE OF ENGG. & RURAL TECHNOLOGY,MEERUT",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,824145,824145,Fresh Only
1079,Round 1,"KIPM COLLEGE OF ENGG. & TECHNOLOGY,GORAKHPUR",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,277445,1345082,Fresh Only
1080,Round 1,"BABU SUNDER SINGH INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Information Technology,B.Tech,Home State,OPEN,Both Male and Female Seats,1393425,1393425,Fresh Only
1081,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,33146,81743,Fresh Only
1082,Round 1,"MAA PATESHWARI DEVI RAJKIYA ENGINEERING COLLEGE, GONDA",Civil Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,384610,1196963,Fresh Only
1083,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Electronics Engineering,B.Tech,Home State,OPEN(FF),Both Male and Female Seats,1104901,1104901,Fresh Only
1084,Round 1,"AXIS INSTITUTE OF TECHNOLOGY & MANAGEMENT,KANPUR",Computer Science And Engineering(Data Science),B.Tech,Home State,OPEN,Both Male and Female Seats,567237,1418803,Fresh Only
1085,Round 1,"DELHI INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,1264464,1264464,Fresh Only
1086,Round 1,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electronics Engineering,B.Tech,Home State,SC,Both Male and Female Seats,387235,669866,Fresh Only
1087,Round 1,"B.B.S.COLLEGE OF ENGGINERING AND TECHNOLOGY,ALLAHABAD",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,393626,1468343,Fresh Only
1088,Round 1,"KCC INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN,Both Male and Female Seats,295466,1470647,Fresh Only
1089,Round 1,"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Data Science),B.Tech,Home State,OPEN(AF),Both Male and Female Seats,339714,600421,Fresh Only
1090,Round 1,"M. J. P. Ruhelkhand University, Bareilly",Computer Science & Information Technology,B.Tech,Home State,BC(Girl),Female Seats,267442,316395,Fresh Only
1091,Round 1,"SAMRAT ASHOK RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,408079,408079,Fresh Only
1092,Round 1,"INDERPRASTHA ENGG. COLLEGE,GHAZIABAD",Electronics and Communication Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,566951,765184,Fresh Only
1093,Round 1,"S.R.INSTITUTE OF MANAGEMENT & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,OPEN(GIRL),Female Seats,769710,1381255,Fresh Only
1094,Round 1,"Khwaja Moinuddin Chishti Language University, Lucknow",Civil Engineering,B.Tech,Home State,SC,Both Male and Female Seats,1170077,1170077,Fresh Only
1095,Round 1,"M. J. P. Ruhelkhand University, Bareilly",Chemical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,232036,483663,Fresh Only
1096,Round 1,"RAJA BALWANT SINGH ENGINEERING TECHNICAL CAMPUS,AGRA",Mechanical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,446412,1219412,Fresh Only
1097,Round 1,"HINDUSTAN COLLEGE OF SCIENCE & TECHNOLOGY,MATHURA",Electronics and Communication Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,438668,1293617,Fresh Only
1098,Round 1,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,23433,46072.1,Fresh Only
1099,Round 1,"G.L.BAJAJ GROUP OF INSTITUTIONS,MATHURA",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,EWS(GL),Female Seats,900247,1296833,Fresh Only
1100,Round 1,"BHARAT RATNA SARDAR VALLABHBHAI PATEL RAJKIYA ENGINEERING COLLEGE, BASTI",Computer Science and Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,725519,725519,Fresh Only
1101,Round 1,"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Mechanical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,860050,860050,Fresh Only
1102,Round 1,"RAJKIYA ENGINEERING COLLEGE,BIJNOR",Civil Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,156639,260877,Fresh Only
1103,Round 1,"KASHI INSTITUTE OF TECHNOLOGY,VARANASI",Electrical & Electronics Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,890586,1424595,Fresh Only
1104,Round 1,"INDIAN INSTITUTE OF CARPET TECHNOLOGY,BHADOHI",Carpet & Textile Technology,B.Tech,Home State,BC,Both Male and Female Seats,942520,1346746,Fresh Only
1105,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science And Engineering(Data Science),B.Tech,Home State,EWS(GL),Female Seats,657602,681611,Fresh Only
1106,Round 1,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electronics Engineering,B.Tech,Home State,EWS(GL),Female Seats,349932,364098,Fresh Only
1107,Round 1,"SAMRAT ASHOK RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Electronics Engineering,B.Tech,Home State,BC(Girl),Female Seats,870460,971708,Fresh Only
1108,Round 1,"G.L. BAJAJ INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Computer Science and Information Technology,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,281410,467167,Fresh Only
1109,Round 1,"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science (Hindi),B.Tech,Home State,OPEN,Both Male and Female Seats,310411,431869,Fresh Only
1110,Round 1,"RAJKIYA ENGINEERING COLLEGE,AZAMGARH",Mechanical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,276853,347371,Fresh Only
1111,Round 1,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,OPEN(AF),Both Male and Female Seats,42957,49998,Fresh Only
1112,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Information Technology,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,125413,137181,Fresh Only
1113,Round 1,"MANGALMAY INSTITUTE OF ENGINEERING AND TECHNOLOGY ,GAUTAM BUDDHA NAGAR",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,444019,1087228,Fresh Only
1114,Round 1,"CENTRE FOR ADVANCE STUDIES,LUCKNOW",Electronics Engineering (VLSI Design and Technology),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,98236,100580,Fresh Only
1115,Round 1,"SUNDERDEEP ENGINEERING COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,740020,806462,Fresh Only
1116,Round 1,"MAHATAMA GANDHI MISSION COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,347849,876084,Fresh Only
1117,Round 1,"G.L. BAJAJ INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,162081,227672,Fresh Only
1118,Round 1,"SANSKAR COLLEGE OF ENGINEERING & TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,589931,994454,Fresh Only
1119,Round 1,"DEEWAN V.S. INSTITUTE OF ENGINEERING & TECHNOLOGY, MEERUT,MEERUT",Artificial Inelligence (AI) And Data Science,B.Tech,Home State,OPEN(GIRL),Female Seats,1063612,1063612,Fresh Only
1120,Round 1,"S.R.INSTITUTE OF MANAGEMENT & TECHNOLOGY,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,SC(Girl),Female Seats,1231835,1231835,Fresh Only
1121,Round 1,"FEROZE GANDHI INSTITUTE OF ENGG AND TECHNOLOGY, RAIBAREILLY",Computer Science and Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,667623,1113607,Fresh Only
1122,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,BC,Both Male and Female Seats,430205,505264,Fresh Only
1123,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science (Hindi),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,402059,474418,Fresh Only
1124,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science & Engineering (Cyber Security),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,169341,179182,Fresh Only
1125,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Advanced Mechatronics and Industrial Automation,B.Tech,Home State,BC,Both Male and Female Seats,313663,333297,Fresh Only
1126,Round 1,"FACULTY OF ENGG, AGRA COLLEGE,AGRA",Computer Science and Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,560368,924273,Fresh Only
1127,Round 1,"Veer Bahadur Singh Purvanchal University, Jaunpur",Electrical and Computer Engineering,B.Tech,Home State,BC,Both Male and Female Seats,924686,1101352,Fresh Only
1128,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science,B.Tech,Home State,OPEN,Both Male and Female Seats,234080,464999,Fresh Only
1129,Round 1,"M. J. P. Ruhelkhand University, Bareilly",Electrical Engineering,B.Tech,Home State,ST,Both Male and Female Seats,1098837,1098837,Fresh Only
1130,Round 1,"INSTITUTE OF TECHNOLOGY & MANAGEMENT,GORAKHPUR",Electronics and Communication Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,488709,488709,Fresh Only
1131,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,395457,505570,Fresh Only
1132,Round 1,"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Information Technology,B.Tech,Home State,EWS(GL),Female Seats,1277831,1350814,Fresh Only
1133,Round 1,"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Electronics and Communication Engineering,B.Tech,Home State,BC(AF),Both Male and Female Seats,1278275,1278275,Fresh Only
1134,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science Information Technology,B.Tech,Home State,OPEN,Both Male and Female Seats,160057,204420,Fresh Only
1135,Round 1,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,22332,25857,Fresh Only
1136,Round 1,"VISION INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,1066185,1066185,Fresh Only
1137,Round 1,"CENTRE FOR ADVANCE STUDIES,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,EWS(AF),Both Male and Female Seats,219050,219050,Fresh Only
1138,Round 1,"BABU BANARASI DAS INSTITUTE OF TECHNOLOGY AND MANAGEMENT, LUCKNOW",Information Technology,B.Tech,Home State,OPEN,Both Male and Female Seats,883954,1448223,Fresh Only
1139,Round 1,"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Data Science),B.Tech,Home State,BC(AF),Both Male and Female Seats,600589,647607,Fresh Only
1140,Round 1,"SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW",Mechanical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,493158,1018427,Fresh Only
1141,Round 1,"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,700385,1247495,Fresh Only
1142,Round 1,"BABU BANARASI DAS NORTHERN INDIA INSTITUTE OF TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,642501,744726,Fresh Only
1143,Round 1,"Khwaja Moinuddin Chishti Language University, Lucknow",Automotion & Robotics,B.Tech,Home State,BC,Both Male and Female Seats,587871,692034,Fresh Only
1144,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Electrical and Computer Engineering,B.Tech,Home State,BC(Girl),Female Seats,642103,1106541,Fresh Only
1145,Round 1,"DEEWAN V.S. INSTITUTE OF ENGINEERING & TECHNOLOGY, MEERUT,MEERUT",Electronics and Communication Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,405434,1349109,Fresh Only
1146,Round 1,"MAHARAJA AGRASEN COLLEGE OF ENGINEERING & TECHNOLOGY,J.P.NAGAR",Civil Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,1059673,1059673,Fresh Only
1147,Round 1,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Mechanical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,973566,1327492,Fresh Only
1148,Round 1,"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Electrical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,793959,793959,Fresh Only
1149,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Electronics and Communication Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,131739,160140,Fresh Only
1150,Round 1,"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,BC(Girl),Female Seats,622461,1267159,Fresh Only
1151,Round 1,"AXIS INSTITUTE OF TECHNOLOGY & MANAGEMENT,KANPUR",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,448874,1465508,Fresh Only
1152,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,129860,142896,Fresh Only
1153,Round 1,"B.S.A. COLLEGE OF ENGINEERING & TECHNOLOGY,MATHURA",Mechanical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,1117579,1117579,Fresh Only
1154,Round 1,"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN(GIRL),Female Seats,63829,285839,Fresh Only
1155,Round 1,"RAJA BALWANT SINGH ENGINEERING TECHNICAL CAMPUS,AGRA",Electrical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,652846,1404159,Fresh Only
1156,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Mechanical Engineering,B.Tech,Home State,BC(Girl),Female Seats,882136,1329400,Fresh Only
1157,Round 1,"DRONACHARYA GROUP OF INSTITUTIONS,GAUTAM BUDDH NAGAR",Computer Science Information Technology,B.Tech,Home State,OPEN(GIRL),Female Seats,358388,568327,Fresh Only
1158,Round 1,"DR.AMBEDKAR INSTITUTE OF TECHNOLOGY FOR DIVYANGJAN, U.P., KANPUR",Chemical Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,466182,576073,Fresh Only
1159,Round 1,"RAJKIYA ENGINEERING COLLEGE,BIJNOR",Electrical Engineering,B.Tech,Home State,BC,Both Male and Female Seats,257971,314426,Fresh Only
1160,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,EWS(AF),Both Male and Female Seats,494133,1126105,Fresh Only
1161,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electrical and Computer Engineering,B.Tech,Home State,BC(AF),Both Male and Female Seats,505533,505533,Fresh Only
1162,Round 1,"INSTITUTE OF TECHNOLOGY & MANAGEMENT,GORAKHPUR",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,167418,746458,Fresh Only
1163,Round 1,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Electrical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,331089,604608,Fresh Only
1164,Round 1,"BABU BANARASI DAS NORTHERN INDIA INSTITUTE OF TECHNOLOGY,LUCKNOW",Information Technology,B.Tech,Home State,OPEN,Both Male and Female Seats,919450,1205935,Fresh Only
1165,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Master Of Integrated Technology (Computer Science and Engineering),B.Tech,Home State,EWS(GL),Female Seats,941183,941183,Fresh Only
1166,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Electronics and Communication Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,373561,625037,Fresh Only
1167,Round 1,"RAJKIYA ENGINEERING COLLEGE,BANDA",Electrical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,189885,201839,Fresh Only
1168,Round 1,"CENTRE FOR ADVANCE STUDIES,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,57355,73148,Fresh Only
1169,Round 1,"ACCURATE INSTITUTE OF MANAGEMENT & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,650660,1382275,Fresh Only
1170,Round 1,"RAJKIYA ENGINEERING COLLEGE,AZAMGARH",Information Technology,B.Tech,Home State,SC(Girl),Female Seats,704386,1145302,Fresh Only
1171,Round 1,"MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN(GIRL),Female Seats,277089,480961,Fresh Only
1172,Round 1,"BABU BANARASI DAS NORTHERN INDIA INSTITUTE OF TECHNOLOGY,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC(Girl),Female Seats,1181981,1241276,Fresh Only
1173,Round 1,"MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,EWS(GL),Female Seats,1134172,1134172,Fresh Only
1174,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Instrumentation and Control Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,436874,1098414,Fresh Only
1175,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Artificial Intelligence) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,235307,408474,Fresh Only
1176,Round 1,"MORADABAD INSTITUTE OF TECHNOLOGY,MORADABAD",Electronics and Communication Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,455870,455870,Fresh Only
1177,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Electronics Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,161719,210242,Fresh Only
1178,Round 1,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,39827,61083,Fresh Only
1179,Round 1,"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Electronics Engineering (VLSI Design and Technology),B.Tech,Home State,OPEN,Both Male and Female Seats,251176,535859,Fresh Only
1180,Round 1,"DR.AMBEDKAR INSTITUTE OF TECHNOLOGY FOR DIVYANGJAN, U.P., KANPUR",Information Technology,B.Tech,Home State,OPEN,Both Male and Female Seats,123280,125052,Fresh Only
1181,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,211897,256021,Fresh Only
1182,Round 1,"IIMT COLLEGE OF ENGINEERING,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,OPEN(GIRL),Female Seats,501956,1272811,Fresh Only
1183,Round 1,"R.D.ENGINEERING COLLEGE,GHAZIABAD",Mechanical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,898498,898498,Fresh Only
1184,Round 1,"AMBALIKA INSTITUTE OF MANAGEMENT & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,732700,1359407,Fresh Only
1185,Round 1,"KANPUR INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN,Both Male and Female Seats,150284,901092,Fresh Only
1186,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electrical and Computer Engineering,B.Tech,Home State,BC(Girl),Female Seats,344507,390533,Fresh Only
1187,Round 1,"KAMLA NEHRU INSTITUTE OF PHYSICAL & SOCIAL SCIENCES,SULTANPUR",Civil Engineering,B.Tech,Home State,BC,Both Male and Female Seats,760328,1327633,Fresh Only
1188,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Artificial Intelligence And Machine Learning,B.Tech,Home State,BC(AF),Both Male and Female Seats,411013,411013,Fresh Only
1189,Round 1,"I.T.S. ENGG.COLLEGE,GAUTAM BUDDH NAGAR",Electronics and Communication Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,595444,770557,Fresh Only
1190,Round 1,"S.R.INSTITUTE OF MANAGEMENT & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,BC(Girl),Female Seats,1291961,1472716,Fresh Only
1191,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Computer Science and Engineering,B.Tech,Home State,OPEN(PH),Both Male and Female Seats,1312579,1312579,Fresh Only
